"super_class","frequency_of_all_metabolite"
"Acetylides",7
"Alkaloids and derivatives",491
"Allenes",3
"Benzenoids",5025
"Homogeneous metal compounds",64
"Homogeneous non-metal compounds",105
"Hydrocarbon derivatives",14
"Hydrocarbons",299
"Lignans, neolignans and related compounds",228
"Lipids and lipid-like molecules",117350
"Miscellaneous inorganic compounds",1
"Mixed metal/non-metal compounds",137
"Nucleosides, nucleotides, and analogues",640
"Organic 1,3-dipolar compounds",58
"Organic acids and derivatives",5311
"Organic compounds",1
"Organic nitrogen compounds",685
"Organic oxygen compounds",3496
"Organic Polymers",229
"Organic salts",8
"Organohalogen compounds",205
"Organoheterocyclic compounds",7099
"Organometallic compounds",13
"Organophosphorus compounds",25
"Organosulfur compounds",413
"Phenylpropanoids and polyketides",4030
